time_ms,cpu_usage,active_workers,completed
14550,95,7,449
14560,95,7,449
14571,95,7,449
14581,95,7,449
14591,95,7,449
14601,95,7,449
14611,95,7,449
14622,95,7,449
14632,95,7,449
14642,95,7,449
14652,95,7,449
14662,95,7,449
14673,75,5,451
14683,65,4,456
14693,95,7,456
14703,95,7,456
14714,95,7,456
14724,95,7,456
14734,95,7,456
14744,95,7,456
14754,95,7,456
14765,95,7,456
14775,95,7,456
14785,95,7,456
14795,95,7,456
14806,95,7,456
14816,95,7,456
14826,95,7,456
14837,95,7,456
14847,95,7,456
14857,95,7,456
14867,95,7,456
14878,95,7,458
14888,95,7,463
14898,95,7,463
14909,95,7,463
14919,95,7,463
14929,95,7,463
14939,95,7,463
14950,95,7,463
14960,95,7,463
14970,95,7,463
14980,95,7,463
14991,95,7,463
15001,95,7,463
15011,95,7,463
15021,95,7,463
15031,95,7,463
15041,95,7,463
15052,95,7,463
15062,95,7,463
15072,95,7,463
15082,95,7,466
15092,75,5,470
15102,75,5,470
15113,75,5,470
15123,75,5,470
15133,75,5,470
15143,75,5,470
15153,75,5,470
15163,75,5,470
15174,75,5,470
15184,75,5,470
15194,75,5,470
15204,75,5,470
15214,75,5,470
15225,75,5,470
15235,75,5,470
15245,75,5,470
15255,75,5,470
15265,75,5,470
15275,100,5,471
15286,85,6,475
15296,85,6,475
15306,85,6,475
15316,85,6,475
15327,85,6,475
15337,85,6,475
15347,85,6,475
15357,85,6,475
15368,85,6,475
15378,85,6,475
15388,85,6,475
15398,85,6,475
15408,85,6,475
15419,85,6,475
15429,85,6,475
15439,85,6,475
15449,85,6,475
15460,85,6,475
15470,85,6,475
15480,90,4,480
15490,80,3,481
15501,80,3,481
15511,80,3,481
15521,80,3,481
15531,80,3,481
15541,80,3,481
15552,80,3,481
15562,80,3,481
15572,80,3,481
15582,80,3,481
15593,80,3,481
15603,80,3,481
15613,80,3,481
15623,80,3,481
15633,80,3,481
15644,80,3,481
15654,80,3,481
15665,80,3,481
15675,80,3,481
15686,65,4,484
15696,95,7,484
15707,95,7,484
15717,95,7,484
15728,95,7,484
15738,95,7,484
15749,95,7,484
15759,95,7,484
15769,95,7,484
15780,95,7,484
15791,95,7,484
15801,95,7,484
15812,95,7,484
15823,95,7,484
15833,95,7,484
15844,95,7,484
15854,95,7,484
15867,95,7,484
15878,60,6,485
15888,100,5,489
15898,100,5,491
15909,100,5,491
15919,100,5,491
15929,100,5,491
15939,100,5,491
15950,100,5,491
15961,100,5,491
15971,100,5,491
15981,100,5,491
15992,100,5,491
16003,100,5,491
16013,100,5,491
16023,100,5,491
16034,100,5,491
16044,100,5,491
16054,100,5,491
16064,100,5,491
16074,100,5,491
16085,95,7,493
16095,95,7,496
16105,95,7,496
16117,95,7,496
16127,95,7,496
16138,95,7,496
16148,95,7,496
16158,95,7,496
16168,95,7,496
16179,95,7,496
16189,95,7,496
16199,95,7,496
16209,95,7,496
16219,95,7,496
16230,95,7,496
16240,95,7,496
16250,95,7,496
16261,95,7,496
16271,95,7,496
16281,85,6,498
16291,75,5,503
16302,95,7,503
16312,95,7,503
16331,95,7,503
16341,95,7,503
16352,95,7,503
16363,95,7,503
16373,95,7,503
16387,95,7,503
16398,95,7,503
16408,95,7,503
16419,95,7,503
16429,95,7,503
16439,95,7,503
16449,95,7,503
16460,95,7,503
16470,95,7,503
16480,85,6,504
16491,65,4,508
16501,100,5,510
16511,100,5,510
16521,100,5,510
16531,100,5,510
16542,100,5,510
16552,100,5,510
16563,100,5,510
16573,100,5,510
16583,100,5,510
16593,100,5,510
16603,100,5,510
16614,100,5,510
16624,100,5,510
16634,100,5,510
16644,100,5,510
16654,100,5,510
16664,100,5,510
16675,100,5,510
16685,85,6,511
16695,85,6,515
16706,95,7,515
16716,95,7,515
16726,95,7,515
16736,95,7,515
16747,95,7,515
16757,95,7,515
16768,95,7,515
16778,95,7,515
16789,95,7,515
16799,95,7,515
16809,95,7,515
16819,95,7,515
16829,95,7,515
16839,95,7,515
16850,95,7,515
16860,95,7,515
16871,95,7,515
16881,95,7,515
16891,95,7,517
16901,80,8,522
16912,80,8,522
16922,80,8,522
16932,80,8,522
16942,80,8,522
16953,80,8,522
16963,80,8,522
16973,80,8,522
16983,80,8,522
16994,80,8,522
17004,80,8,522
17014,80,8,522
17024,80,8,522
17035,80,8,522
17045,80,8,522
17055,80,8,522
17066,80,8,522
17076,80,8,522
17086,60,6,524
17097,100,5,528
17107,100,5,530
17117,100,5,530
17127,100,5,530
17137,100,5,530
17147,100,5,530
17158,100,5,530
17168,100,5,530
17178,100,5,530
17188,100,5,530
17198,100,5,530
17208,100,5,530
17219,100,5,530
17229,100,5,530
17239,100,5,530
17249,100,5,530
17259,100,5,530
17269,100,5,530
17280,100,5,530
17290,85,6,531
17300,70,7,535
17310,80,8,535
17320,80,8,535
17331,80,8,535
17341,80,8,535
17351,80,8,535
17361,80,8,535
17372,80,8,535
17382,80,8,535
17392,80,8,535
17402,80,8,535
17412,80,8,535
17423,80,8,535
17433,80,8,535
17443,80,8,535
17453,80,8,535
17463,80,8,535
17473,80,8,535
17484,80,8,535
17494,80,8,538
17504,70,7,543
17514,70,7,543
17524,70,7,543
17535,70,7,543
17545,70,7,543
17555,70,7,543
17565,70,7,543
17575,70,7,543
17585,70,7,543
17595,70,7,543
17606,70,7,543
17616,70,7,543
17626,70,7,543
17636,70,7,543
17647,70,7,543
17657,70,7,543
17667,70,7,543
17677,70,7,543
17688,70,7,543
17698,95,7,547
17708,95,7,550
17718,95,7,550
17728,95,7,550
17738,95,7,550
17749,95,7,550
17759,95,7,550
17769,95,7,550
17779,95,7,550
17790,95,7,550
17800,95,7,550
17810,95,7,550
17820,95,7,550
17831,95,7,550
17841,95,7,550
17851,95,7,550
17861,95,7,550
17871,95,7,550
17882,95,7,550
17892,95,7,553
17902,85,6,557
17912,95,7,557
17922,95,7,557
17932,95,7,557
17943,95,7,557
17953,95,7,557
17963,95,7,557
17973,95,7,557
17983,95,7,557
17993,95,7,557
18004,95,7,557
18014,95,7,557
18024,95,7,557
18034,95,7,557
18044,95,7,557
18055,95,7,557
18065,95,7,557
18076,95,7,557
18086,95,7,557
18097,80,8,561
18107,95,7,564
18117,95,7,564
18127,95,7,564
18138,95,7,564
18148,95,7,564
18158,95,7,564
18168,95,7,564
18178,95,7,564
18189,95,7,564
18199,95,7,564
18209,95,7,564
18219,95,7,564
18229,95,7,564
18240,95,7,564
18250,95,7,564
18260,95,7,564
18270,95,7,564
18281,95,7,564
18291,95,7,565
18301,90,4,570
18311,75,5,571
18321,75,5,571
18332,75,5,571
18342,75,5,571
18352,75,5,571
18363,75,5,571
18373,75,5,571
18383,75,5,571
18393,75,5,571
18403,75,5,571
18413,75,5,571
18424,75,5,571
18434,75,5,571
18444,75,5,571
18455,75,5,571
18465,75,5,571
18475,75,5,571
18486,75,5,571
18496,100,5,573
18506,95,7,576
18516,95,7,576
18526,95,7,576
18537,95,7,576
18547,95,7,576
18557,95,7,576
18567,95,7,576
18577,95,7,576
18587,95,7,576
18598,95,7,576
18608,95,7,576
18618,95,7,576
18628,95,7,576
18639,95,7,576
18649,95,7,576
18659,95,7,576
18669,95,7,576
18680,95,7,576
18690,95,7,576
18700,75,5,580
18710,90,4,583
18720,90,4,583
18731,90,4,583
18741,90,4,583
18751,90,4,583
18761,90,4,583
18772,90,4,583
18782,90,4,583
18792,90,4,583
18802,90,4,583
18813,90,4,583
18823,90,4,583
18833,90,4,583
18843,90,4,583
18853,90,4,583
18864,90,4,583
18874,90,4,583
18884,90,4,583
18894,45,2,585
18905,100,5,587
18915,100,5,587
18925,100,5,587
18935,100,5,587
18945,100,5,587
18956,100,5,587
18966,100,5,587
18976,100,5,587
18986,100,5,587
18996,100,5,587
19006,100,5,587
19017,100,5,587
19027,100,5,587
19037,100,5,587
19047,100,5,587
19058,100,5,587
19068,100,5,587
19078,100,5,587
19088,100,5,587
19099,100,5,590
19109,95,7,592
19119,95,7,592
19129,95,7,592
19140,95,7,592
19150,95,7,592
19160,95,7,592
19170,95,7,592
19180,95,7,592
19191,95,7,592
19201,95,7,592
19211,95,7,592
19221,95,7,592
19232,95,7,592
19242,95,7,592
19252,95,7,592
19262,95,7,592
